id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
1773,MAVERICK COUNTY AIRPORT WATER ,RN101253565,", MAVERICK",BOIL WATER NOTICE (BWN),FINAL REPORT,05/10/2012,07/22/2014,boil-water-notice-bwn
1774,GENERIC INCIDENT ZIP CODE 7938,RN104055736,"WOLFFORTH, LUBBOCK",,FINAL REPORT,08/31/2012,12/01/2012,none
1775,STUDY BUTTE TERLINGUA WATER SY,RN101207504,", BREWSTER",BOIL WATER NOTICE (BWN),FINAL REPORT,02/04/2013,02/08/2013,boil-water-notice-bwn
1776,LEGGETT WSC,RN101454130,"LIVINGSTON, POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,02/05/2013,02/12/2013,boil-water-notice-bwn
1777,TAILING PONDS DAM 2,RN101576411,", SAN PATRICIO",,FINAL REPORT,03/04/2013,03/12/2013,none
1778,MAVERICK COUNTY AIRPORT WATER ,RN101253565,", MAVERICK",BOIL WATER NOTICE (BWN),FINAL REPORT,07/14/2011,07/22/2014,boil-water-notice-bwn
1779,GENERIC INCIDENT ZIP CODE 7975,RN104056981,"GARDENDALE, ECTOR",,INITIAL REPORT,"02/22/2013 
		5:05PM","02/22/2013 
                
",none
1780,ENBRIDGE PIPELINES FREESTONE C,RN104317441,", FREESTONE",MAINTENANCE,FINAL REPORT,"03/05/2013 
		3:15PM","03/05/2013 
                
",maintenance
1781,BLAND LAKE RURAL WSC,RN101437473,", SAN AUGUSTINE",BOIL WATER NOTICE (BWN),FINAL REPORT,01/30/2013,02/06/2013,boil-water-notice-bwn
1782,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/04/2013 
		11:00PM","03/06/2013 
                
",emissions-event
1783,BEE CAVES CHEVRON,RN101494862,", TRAVIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/04/2013 
		9:00AM","03/04/2013 
                
",emergency-response
1784,GENERIC INCIDENT ZIP CODE 7874,RN104052691,"AUSTIN, TRAVIS",EMERGENCY RESPONSE,INITIAL REPORT,02/16/2013,02/16/2013,emergency-response
1785,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",AIR STARTUP,FINAL REPORT,"03/06/2013 
		9:10PM","03/07/2013 
                
",air-startup
1786,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"03/04/2013 
		9:00PM","03/05/2013 
                
",emissions-event
1787,BELVAN MIDWAY LANE GAS PLANT,RN100214022,"OZONA, CROCKETT",EMISSIONS EVENT,FINAL REPORT,"03/05/2013 
		11:45AM","03/05/2013 
                
",emissions-event
1788,TEXMARK CHEMICALS,RN100238740,"GALENA PARK, HARRIS",EMISSIONS EVENT,FINAL REPORT,"03/04/2013 
		6:00PM","03/04/2013 
                
",emissions-event
1789,GENERIC INCIDENT ZIP CODE 7611,RN104038658,"HALTOM CITY, TARRANT",EMERGENCY RESPONSE,INITIAL REPORT,"03/05/2013 
		8:15AM","04/03/2013 
                
",emergency-response
1790,MIDKIFF GAS PLANT,RN100215714,"MIDKIFF, REAGAN",EMISSIONS EVENT,FINAL REPORT,"03/05/2013 
		8:30AM","03/05/2013 
                
",emissions-event
1791,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/05/2013 
		5:00PM","03/07/2013 
                
",emissions-event
1792,SHINTECH FREEPORT PLANT,RN100213198,"FREEPORT, BRAZORIA",EMERGENCY RESPONSE,INITIAL REPORT,"03/05/2013 
		7:15AM","03/05/2013 
                
",emergency-response
1793,SOUTHERN UNION PIPELINE PECOS ,RN104213756,", PECOS",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		9:00AM","03/07/2013 
                
",emissions-event
1794,GENERIC INCIDENT ZIP CODE 7822,RN104049317,"SAN ANTONIO, BEXAR",EMERGENCY RESPONSE,INITIAL REPORT,"02/26/2013 
		8:30PM",12/31/3000,emergency-response
1850,TALL PINES UTILITY,RN101225175,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,03/05/2013,03/06/2013,boil-water-notice-bwn
1795,INTERCONTINENTAL TERMINALS DEE,RN100210806,"DEER PARK, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/05/2013 
		1:00PM","03/05/2013 
                
",emergency-response
1796,BASF FREEPORT SITE,RN100218049,"FREEPORT, BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,02/05/2013,02/06/2013,boil-water-notice-bwn
1797,HUTTO BOOSTER STATION,RN102550167,"BIG SPRING, HOWARD",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		7:00AM","03/06/2013 
                
",emissions-event
1798,GENERIC INCIDENT ZIP CODE 7523,RN104033899,"DALLAS, DALLAS",EMERGENCY RESPONSE,INITIAL REPORT,08/29/2012,08/29/2012,emergency-response
1799,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,01/27/2013,01/29/2013,boil-water-notice-bwn
1800,CHAP BOOSTER STATION,RN100219427,"MIDLAND, MIDLAND",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		7:00AM","03/06/2013 
                
",emissions-event
1801,HOBBY AIRPORT MAINTENANCE FACI,RN102593225,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/04/2013 
		4:30PM","03/04/2013 
                
",emergency-response
1802,GENERIC INCIDENT ZIP CODE 7835,RN104050190,"FULTON, ARANSAS",,INITIAL REPORT,03/06/2013,03/06/2013,none
1803,SALT CREEK GAS PLANT,RN101222602,"CLAIREMONT, KENT",EMISSIONS EVENT,FINAL REPORT,"03/05/2013 
		8:00PM","03/06/2013 
                
",emissions-event
1804,HUNTSMAN PORT NECHES,RN100219252,"PORT NECHES, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		9:00AM","03/09/2013 
                
",emissions-event
1805,CHEVRON PHILLIPS CHEMICAL CEDA,RN103919817,"BAYTOWN, HARRIS",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		12:30AM","03/06/2013 
                
",emissions-event
1806,CEDAR HILL GAS PLANT,RN102512563,"POST, GARZA",EMISSIONS EVENT,FINAL REPORT,"03/05/2013 
		11:30PM","03/06/2013 
                
",emissions-event
1807,CITY OF BELLEVUE,RN101390490,", CLAY",BOIL WATER NOTICE (BWN),FINAL REPORT,01/24/2013,01/25/2013,boil-water-notice-bwn
1808,LAUGHLIN AIR FORCE BASE,RN100214717,"DEL RIO, VAL VERDE",EMISSIONS EVENT,FINAL REPORT,"02/23/2013 
		8:30PM","02/23/2013 
                
",emissions-event
1809,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"03/04/2013 
		7:00AM","03/04/2013 
                
",emissions-event
1810,SIMONTON SAND AND GRAVEL PLANT,RN104678255,"WALLIS, AUSTIN",EMERGENCY RESPONSE,INITIAL REPORT,"03/06/2013 
		12:30PM","03/06/2013 
                
",emergency-response
1811,SHARPS ENVIRONMENTAL SERVICE,RN101849362,"CARTHAGE, PANOLA",EXCESS OPACITY,INITIAL REPORT,"03/05/2013 
		1:00PM","03/05/2013 
                
",excess-opacity
1812,CAG 511 SATELLITE BATTERY,RN106343114,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		4:00PM","03/12/2013 
                
",emissions-event
1813,GENERIC INCIDENT ZIP CODE 7811,RN104048772,"KARNES CITY, KARNES",EMERGENCY RESPONSE,INITIAL REPORT,"03/04/2013 
		12:17PM",12/31/3000,emergency-response
1814,MOTAL PROPERTY CR260,RN106648165,"MOULTON, LAVACA",,INITIAL REPORT,03/22/2013,03/22/2013,none
1815,EXXON MOBIL BAYTOWN FACILITY,RN102579307,"BAYTOWN, HARRIS",EXCESS OPACITY,INITIAL REPORT,"03/06/2013 
		10:57AM","03/06/2013 
                
",excess-opacity
1816,USCG GALVESTON,RN102896073,", GALVESTON",EMERGENCY RESPONSE,INITIAL REPORT,"03/04/2013 
		11:15AM","03/04/2013 
                
",emergency-response
1817,GENERIC INCIDENT ZIP CODE 7807,RN104048608,"VON ORMY, BEXAR",,INITIAL REPORT,03/07/2013,12/31/3000,none
1818,CORNELL-MAHONEY GAS PLANT,RN105441810,"DENVER CITY, YOAKUM",EMISSIONS EVENT,INITIAL REPORT,"03/05/2013 
		9:30AM",12/31/3000,emissions-event
1819,LANCASTER RANCH COMPRESSOR STA,RN106040488,"DILLEY, FRIO",EMISSIONS EVENT,INITIAL REPORT,"03/06/2013 
		12:00PM","03/06/2013 
                
",emissions-event
1820,MARATHON PETROLEUM - TEXAS CIT,RN100210608,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		1:28PM","03/06/2013 
                
",emissions-event
1821,BANDERAS STONE SUPPLY,RN106618556,"DALLAS, DALLAS",,INITIAL REPORT,03/06/2013,03/07/2013,none
1822,CARTHAGE ORIENTED STRANDBOARD ,RN100215433,"CARTHAGE, PANOLA",EXCESS OPACITY,INITIAL REPORT,"03/07/2013 
		8:45AM","03/07/2013 
                
",excess-opacity
1823,VOPAK TERMINAL DEER PARK,RN100225093,"DEER PARK, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/07/2013 
		1:20PM","03/07/2013 
                
",emergency-response
1824,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"03/07/2013 
		9:52AM","03/07/2013 
                
",emissions-event
1825,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"03/07/2013 
		8:00AM","03/07/2013 
                
",emissions-event
1851,GRAY COUNTY CARGRAY PIPELINE S,RN105674931,", GRAY",EMISSIONS EVENT,FINAL REPORT,"03/08/2013 
		10:00AM","03/08/2013 
                
",emissions-event
1826,ALON USA BIG SPRING REFINERY,RN100250869,"BIG SPRING, HOWARD",EMISSIONS EVENT,FINAL REPORT,"02/25/2013 
		10:00AM","02/25/2013 
                
",emissions-event
1827,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",MAINTENANCE,FINAL REPORT,"03/18/2013 
		7:00AM","03/21/2013 
                
",maintenance
1828,GENERIC INCIDENT ZIP CODE 7523,RN104033899,"DALLAS, DALLAS",FISH KILL,FINAL REPORT,01/24/2013,01/24/2013,fish-kill
1829,LANCASTER RANCH COMPRESSOR STA,RN106040488,"DILLEY, FRIO",EMISSIONS EVENT,INITIAL REPORT,"03/06/2013 
		7:55PM","03/07/2013 
                
",emissions-event
1830,EUSTACE GAS PLANT,RN102176377,"EUSTACE, HENDERSON",EMISSIONS EVENT,INITIAL REPORT,"03/07/2013 
		1:15AM","03/07/2013 
                
",emissions-event
1831,JENKINS UNIT CENTRAL TANK BATT,RN102583101,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/06/2013 
		9:00PM","03/07/2013 
                
",emissions-event
1832,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/07/2013 
		1:00PM","03/19/2013 
                
",emissions-event
1833,GENERIC INCIDENT ZIP CODE 7770,RN104047071,"BEAUMONT, JEFFERSON",EMERGENCY RESPONSE,INITIAL REPORT,03/07/2013,03/07/2013,emergency-response
1834,VALERO PORT ARTHUR REFINERY,RN102584026,"PORT ARTHUR, JEFFERSON",EMERGENCY RESPONSE,INITIAL REPORT,03/07/2013,03/08/2013,emergency-response
1835,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"03/07/2013 
		11:00AM","03/07/2013 
                
",emissions-event
1836,MONT BELVIEU COMPLEX,RN100222900,"MONT BELVIEU, CHAMBERS",EMISSIONS EVENT,FINAL REPORT,"03/07/2013 
		2:20PM","03/07/2013 
                
",emissions-event
1837,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,INITIAL REPORT,"03/07/2013 
		3:05PM","03/07/2013 
                
",emissions-event
1838,QPS FACILITY,RN101995082,"PENWELL, ECTOR",,INITIAL REPORT,03/05/2013,12/31/3000,none
1839,ENTERPRISE MONT BELVIEU COMPLE,RN102323268,"MONT BELVIEU, CHAMBERS",AIR STARTUP,FINAL REPORT,"03/12/2013 
		8:00AM",03/14/2013,air-startup
1840,ENTERPRISE MONT BELVIEU COMPLE,RN102323268,"MONT BELVIEU, CHAMBERS",AIR STARTUP,FINAL REPORT,"03/16/2013 
		7:00AM",03/18/2013,air-startup
1841,CITY OF BARDWELL,RN101238608,"BARDWELL, ELLIS",BOIL WATER NOTICE (BWN),FINAL REPORT,01/10/2013,03/25/2013,boil-water-notice-bwn
1842,GENERIC INCIDENT ZIP CODE 7840,RN104050547,"CORPUS CHRISTI, NUECES",,INITIAL REPORT,03/08/2013,12/31/3000,none
1843,ELK OF TEXAS,RN100213479,"ENNIS, ELLIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/07/2013 
		3:30PM","02/07/2014 
                
",emergency-response
1844,GARDENDALE SOUTH PGS GARDENDAL,RN106225303,"COTULLA, LA SALLE",EMISSIONS EVENT,INITIAL REPORT,"03/07/2013 
		11:45AM","03/07/2013 
                
",emissions-event
1845,GENERIC INCIDENT ZIP CODE 7524,RN104034046,"DALLAS, DALLAS",FISH KILL,INITIAL REPORT,02/07/2013,02/07/2013,fish-kill
1846,VOPAK TERMINAL DEER PARK,RN100225093,"DEER PARK, HARRIS",EMISSIONS EVENT,FINAL REPORT,"03/08/2013 
		2:15PM","03/08/2013 
                
",emissions-event
1847,EASTMAN CHEMICAL TEXAS OPERATI,RN100219815,"LONGVIEW, HARRISON",EMISSIONS EVENT,FINAL REPORT,"03/08/2013 
		11:00AM","03/08/2013 
                
",emissions-event
1852,PPG INDUSTRIES WORKS NO 4,RN102522950,"WICHITA FALLS, WICHITA",MAINTENANCE,FINAL REPORT,"03/18/2013 
		5:00AM","03/22/2013 
                
",maintenance
1853,MIDKIFF GAS PLANT,RN100215714,"MIDKIFF, REAGAN",EMISSIONS EVENT,FINAL REPORT,"03/08/2013 
		2:05AM","03/08/2013 
                
",emissions-event
1854,VALERO CORPUS CHRISTI REFINERY,RN100214386,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"03/08/2013 
		10:45PM","03/09/2013 
                
",emissions-event
1855,SHERWIN ALUMINA PLANT,RN102318847,"GREGORY, SAN PATRICIO",EMISSIONS EVENT,FINAL REPORT,"03/09/2013 
		9:33AM","03/09/2013 
                
",emissions-event
1856,EUSTACE GAS PLANT,RN102176377,"EUSTACE, HENDERSON",EMISSIONS EVENT,INITIAL REPORT,"03/08/2013 
		4:45PM","03/10/2013 
                
",emissions-event
1857,FULLERTON GAS PLANT,RN100218684,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/09/2013 
		12:01AM","03/09/2013 
                
",emissions-event
1858,FULLERTON GAS PLANT,RN100218684,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"03/18/2013 
		7:30AM","03/18/2013 
                
",maintenance
1859,SOUTH FULLERTON BOOSTER STATIO,RN100219641,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/08/2013 
		10:30PM","03/09/2013 
                
",emissions-event
1860,GWO 19,RN105682223,"WICKET, WARD",EMISSIONS EVENT,FINAL REPORT,"03/09/2013 
		12:44PM","03/09/2013 
                
",emissions-event
1861,SECTION F 1 SATELLITE,RN105715502,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,"03/09/2013 
		12:44PM","03/09/2013 
                
",emissions-event
1862,EXXONMOBIL BEAUMONT REFINERY,RN102450756,"BEAUMONT, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/09/2013 
		10:55AM","03/10/2013 
                
",emissions-event
1863,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		11:00AM","03/15/2013 
                
",emissions-event
1864,MIDLAND FARMS UNIT NORTH FLARE,RN105236426,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		4:15PM","03/15/2013 
                
",emissions-event
1865,MIDLAND FARMS CENTRAL TANK BAT,RN102570884,"ODESSA, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		4:15PM","03/15/2013 
                
",emissions-event
1866,SID RICHARDSON CARBON BORGER P,RN100222413,"BORGER, HUTCHINSON",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		10:00AM","03/13/2013 
                
",emissions-event
1867,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"03/08/2013 
		3:00PM","03/08/2013 
                
",emissions-event
1868,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		10:50AM","03/11/2013 
                
",emissions-event
1869,CITY OF LEANDER,RN101201267,", WILLIAMSON",BOIL WATER NOTICE (BWN),FINAL REPORT,03/07/2013,03/08/2013,boil-water-notice-bwn
1870,OLD OCEAN GAS PLANT,RN100212000,"SWEENY, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		10:05AM","03/10/2013 
                
",emissions-event
1872,SWEENY REFINERY,RN101619179,"OLD OCEAN, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		10:00AM","03/22/2013 
                
",emissions-event
1873,CHEVRON PHILLIPS CHEMICAL SWEE,RN100825249,"OLD OCEAN, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		10:00AM","03/30/2013 
                
",emissions-event
1874,HUNTSMAN PORT NECHES,RN100219252,"PORT NECHES, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		10:00AM","03/11/2013 
                
",emissions-event
1875,MANVILLE WATER SUPPLY,RN101271088,"ROUND ROCK, TRAVIS",BOIL WATER NOTICE (BWN),FINAL REPORT,02/25/2013,02/27/2013,boil-water-notice-bwn
1876,LCRA SAM SEYMOUR FAYETTE POWER,RN100226844,"LA GRANGE, FAYETTE",AIR SHUTDOWN,FINAL REPORT,"02/21/2013 
		3:30PM","02/22/2013 
                
",air-shutdown
1877,CANYON CREEK ADDITION,RN101213411,"GRANBURY, HOOD",BOIL WATER NOTICE (BWN),FINAL REPORT,02/15/2013,02/26/2013,boil-water-notice-bwn
1878,LCRA SAM SEYMOUR FAYETTE POWER,RN100226844,"LA GRANGE, FAYETTE",MAINTENANCE,FINAL REPORT,"02/22/2013 
		8:33AM","03/07/2013 
                
",maintenance
1879,FLINT HILLS RESOURCES CORPUS C,RN100235266,"CORPUS CHRISTI, NUECES",BOIL WATER NOTICE (BWN),FINAL REPORT,02/21/2013,02/24/2013,boil-water-notice-bwn
1880,ALTO RURAL WSC COLDSPRINGS PLA,RN101238210,", CHEROKEE",BOIL WATER NOTICE (BWN),FINAL REPORT,03/05/2013,03/09/2013,boil-water-notice-bwn
1881,LCRA SAM SEYMOUR FAYETTE POWER,RN100226844,"LA GRANGE, FAYETTE",AIR STARTUP,FINAL REPORT,"03/07/2013 
		9:18PM","03/09/2013 
                
",air-startup
1882,MAPLE LEAF MOBILE HOME SUBDIVI,RN102680311,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,03/06/2013,03/08/2013,boil-water-notice-bwn
1895,HASKELL STREET PLANT,RN102286242,"EL PASO, EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,"03/10/2013 
		5:50PM","03/10/2013 
                
",emergency-response
1883,SHERWIN ALUMINA PLANT,RN102318847,"GREGORY, SAN PATRICIO",EMISSIONS EVENT,FINAL REPORT,"03/11/2013 
		10:54AM","03/11/2013 
                
",emissions-event
1884,GENERIC INCIDENT ZIP CODE 7902,RN104053954,"DUMAS, MOORE",EMERGENCY RESPONSE,INITIAL REPORT,03/10/2013,03/10/2013,emergency-response
1885,CHEVRON PHILLIPS CHEMICAL CEDA,RN103919817,"BAYTOWN, HARRIS",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		4:08PM","03/10/2013 
                
",emissions-event
1886,BURLINGTON NORTHERN & SANTA FE,RN102754322,"AMARILLO, POTTER",EMERGENCY RESPONSE,INITIAL REPORT,03/08/2013,03/08/2013,emergency-response
1887,TAILING PONDS DAM 2,RN101576411,", SAN PATRICIO",,INITIAL REPORT,"03/09/2013 
		12:53PM","03/09/2013 
                
",none
1888,GENERIC INCIDENT ZIP CODE 7991,RN104057567,"EL PASO, EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,03/10/2013,03/10/2013,emergency-response
1889,CREEDMOOR MAHA WSC,RN101177152,", TRAVIS",BOIL WATER NOTICE (BWN),FINAL REPORT,03/05/2013,03/08/2013,boil-water-notice-bwn
1890,GENERIC INCIDENT ZIP CODE 7736,RN104044854,"PORTER, MONTGOMERY",,INITIAL REPORT,"03/05/2013 
		5:30PM","03/06/2013 
                
",none
1891,BLANCHARD REFINING GALVESTON B,RN102535077,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,FINAL REPORT,"03/10/2013 
		7:52PM","03/10/2013 
                
",emissions-event
1892,BELL MILAM FALLS WSC,RN101233922,", BELL",BOIL WATER NOTICE (BWN),FINAL REPORT,03/08/2013,03/14/2013,boil-water-notice-bwn
1893,GOLDSMITH C02 PILOT PHASE II F,RN105716047,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/11/2013 
		3:15PM","03/18/2013 
                
",emissions-event
1894,PORT ARTHUR REFINERY,RN100209451,"PORT ARTHUR, JEFFERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,01/11/2013,01/17/2013,boil-water-notice-bwn
8260,WALTERS RESIDENCE,RN106999055,", DALLAS",,INITIAL REPORT,"11/04/2013 
		2:30PM","11/04/2013 
                
",none
1896,TEXSTAR FIELD SERVICES PIPELIN,RN104859004,", DIMMIT",MAINTENANCE,FINAL REPORT,"03/11/2013 
		11:00AM","03/11/2013 
                
",maintenance
1897,INVISTA SARL,RN102663671,"VICTORIA, VICTORIA",AIR STARTUP,FINAL REPORT,"03/12/2013 
		6:00PM","03/16/2013 
                
",air-startup
1898,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"03/11/2012 
		8:00AM","03/11/2012 
                
",emissions-event
1899,TEXSTAR FIELD SERVICES PIPELIN,RN104859004,", DIMMIT",EMISSIONS EVENT,FINAL REPORT,"03/11/2010 
		10:00AM","03/12/2010 
                
",emissions-event
1900,NASA JOHNSON SPACE CENTER,RN100665579,"HOUSTON, HARRIS",MAINTENANCE,FINAL REPORT,"03/27/2013 
		8:00AM","03/27/2013 
                
",maintenance
1901,CITY OF SPRINGLAKE,RN101392488,"SPRINGLAKE, LAMB",BOIL WATER NOTICE (BWN),FINAL REPORT,01/29/2013,01/31/2013,boil-water-notice-bwn
1902,HOLLY HUFF WSC,RN101215325,"JASPER, JASPER",BOIL WATER NOTICE (BWN),FINAL REPORT,03/01/2013,03/01/2013,boil-water-notice-bwn
1903,BRIDGE TERMINAL TRANSPORT-HOUS,RN103870374,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/04/2013 
		11:35AM","03/04/2013 
                
",emergency-response
1904,HIGH POINT WATER,RN102672987,"LARUE, HENDERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,02/27/2013,03/01/2013,boil-water-notice-bwn
1905,EMERGENCY RESPONSE FM 922 MONT,RN106628662,"FORESTBURG, MONTAGUE",EMERGENCY RESPONSE,INITIAL REPORT,"01/05/2013 
		5:00AM","01/05/2013 
                
",emergency-response
1906,TOWN OF HOLIDAY LAKES WATER SY,RN102691359,", BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,02/27/2013,03/05/2013,boil-water-notice-bwn
1907,CANYON CREEK ADDITION,RN101213411,"GRANBURY, HOOD",BOIL WATER NOTICE (BWN),FINAL REPORT,03/04/2013,03/13/2013,boil-water-notice-bwn
1908,HALDOR TOPSOE,RN101211498,"PASADENA, HARRIS",EXCESS OPACITY,INITIAL REPORT,"02/10/2012 
		9:17AM","02/10/2012 
                
",excess-opacity
1909,HALDOR TOPSOE,RN101211498,"PASADENA, HARRIS",EMISSIONS EVENT,FINAL REPORT,"05/11/2012 
		10:50PM","05/12/2012 
                
",emissions-event
1910,CITY OF LAWN,RN101406916,"LAWN, TAYLOR",BOIL WATER NOTICE (BWN),FINAL REPORT,03/06/2013,03/07/2013,boil-water-notice-bwn
1911,MOBILE HOME ESTATES,RN102680865,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,03/07/2013,03/08/2013,boil-water-notice-bwn
1912,BRIDGE TERMINAL TRANSPORT,RN100875137,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/12/2013 
		7:15AM",12/31/3000,emergency-response
1913,FULLERTON CLEARFORK 200 5,RN102983533,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		9:30AM","03/26/2013 
                
",emissions-event
1914,FULLERTON CLEARFORK UNIT SUBBA,RN106416738,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		10:00AM","03/26/2013 
                
",emissions-event
1915,ANHEUSER-BUSCH HOUSTON BREWERY,RN100211697,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"02/12/2013 
		1:23AM",12/31/3000,emergency-response
1916,CALLENDER LAKE,RN102318508,", VAN ZANDT",,INITIAL REPORT,03/12/2013,03/15/2013,none
1917,KROGER,RN106441652,"HOUSTON, HARRIS",,INITIAL REPORT,02/20/2013,03/06/2013,none
1918,GENERIC INCIDENT ZIP CODE 7615,RN104038872,"FORT WORTH, TARRANT",EMERGENCY RESPONSE,INITIAL REPORT,"03/06/2013 
		1:35PM","04/16/2013 
                
",emergency-response
1919,CENTRAL TB AND SAT STA 11,RN102416583,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/11/2013 
		3:45PM","04/26/2013 
                
",emissions-event
1920,NORTH DOLLARHIDE UNIT CENTRAL ,RN103152609,", ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/11/2013 
		5:00PM","03/13/2013 
                
",emissions-event
1921,GENERIC INCIDENT ZIP CODE 7512,RN104033147,"FORNEY, KAUFMAN",EMERGENCY RESPONSE,INITIAL REPORT,"03/07/2013 
		6:00AM","04/08/2013 
                
",emergency-response
1922,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		12:30PM","03/21/2013 
                
",emissions-event
1923,CMC RECYCLING 2,RN106062011,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"03/11/2013 
		11:37PM",03/12/2013,emissions-event
1924,GOLDSMITH LANDRETH DEEP UNIT S,RN103024170,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		3:00PM","03/25/2013 
                
",emissions-event
1925,GOLDSMITH LANDRETH DEEP UNIT S,RN102530706,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		3:00PM","03/25/2013 
                
",emissions-event
