id,contaminant,limit,amount_released
961,hexanes +,0.001 lbs,9.0 lbs (est.)
962,"pentane, iso-",0.001 lbs,6.0 lbs (est.)
963,"Butane, N-",0.001 lbs,232.0 lbs (est.)
964,"Butane, i",0.001 lbs,82.0 lbs (est.)
965,Carbon Monoxide,0.001 lbs,389.0 lbs (est.)
966,Hydrogen Sulfide,0.001 lbs,57.0 lbs (est.)
967,NOX,0.001 lbs,195.0 lbs (est.)
968,"Pentane, N-",0.001 lbs,62.0 lbs (est.)
969,Propane,0.001 lbs,463.0 lbs (est.)
970,Sulfur dioxide,0.001 lbs,5379.0 lbs (est.)
971,hexanes +,0.001 lbs,58.0 lbs (est.)
972,"pentane, iso-",0.001 lbs,59.0 lbs (est.)
973,Carbon Monoxide,0.65 TONS/YR,183.8 lbs (est.)
974,Hydrogen Sulfide,0.01 TONS/YR,10.73 lbs (est.)
975,NATURAL GAS,0.06 TONS/YR,264.22 lbs (est.)
976,Nitrogen dioxide,0,4.6 lbs (est.)
977,Nitrogen oxide,0,87.46 lbs (est.)
978,Sulfur dioxide,0.2 TONS/YR,988.39 lbs (est.)
979,Opacity,20.0 % op,38.0 % op (est.)
980,Opacity,10.0 % op,100.0 % op (est.)
981,Opacity,10.0 % op,100.0 % op (est.)
982,Opacity,10.0 % op,100.0 % op (est.)
983,Sulfur dioxide,110.23 LBS/HR,322.19 lbs (est.)
984,Sulfur dioxide,110.23 LBS/HR,217.66 lbs (est.)
985,Sulfur dioxide,110.23 LBS/HR,765.94 lbs (est.)
986,Sulfur dioxide,110.23 LBS/HR,746.09 lbs (est.)
987,Sulfur dioxide,110.23 LBS/HR,235.61 lbs (est.)
988,Sulfur dioxide,110.23 LBS/HR,176.88 lbs (est.)
989,Sulfur dioxide,110.23 LBS/HR,196.07 lbs (est.)
990,Opacity,20.0 % op,61.63 % op (est.)
991,Carbon Monoxide,23.62 LBS/HR,1411.3 lbs (est.)
992,Hydrogen Sulfide,0.6 LBS/HR,35.85 lbs (est.)
993,Nitrogen Oxides,3.95 LBS/HR,236.01 lbs (est.)
994,Opacity,20.0 % op,20.0 % op (est.)
995,PM10,0.17 LBS/HR,10.16 lbs (est.)
996,Sulfur dioxide,37.63 LBS/HR,4862.4 lbs (est.)
997,VOC - NONMETHANE,0.16 LBS/HR,9.56 lbs (est.)
998,"Butane, N-",5000.0 lbs,18.0 lbs (est.)
999,"Butane, i",5000.0 lbs,5.0 lbs (est.)
1000,Carbon Monoxide,5000.0 lbs,64.0 lbs (est.)
1001,Hexanes,5000.0 lbs,33.0 lbs (est.)
1002,Hydrogen Sulfide,100.0 lbs,36.0 lbs (est.)
1003,NOX,1000.0 lbs,32.0 lbs (est.)
1004,"Pentane, N-",5000.0 lbs,11.0 lbs (est.)
1005,Propane,5000.0 lbs,30.0 lbs (est.)
1006,Sulfur dioxide,500.0 lbs,3372.0 lbs (est.)
1007,"pentane, iso-",5000.0 lbs,8.0 lbs (est.)
1008,Opacity,20.0 % op,35.0 % op (est.)
1009,"Butadiene, 1-3",0,1.0 lbs (est.)
1010,Carbon Monoxide,0,0.36 lbs (est.)
1011,Nitrogen oxide,0,0.04 lbs (est.)
1012,Opacity,20.0 % op,100.0 % op (est.)
1013,"1,3-BUTADIENE",96.1 LBS/HR,2419.0 lbs (est.)
1014,2-Butene-cis,96.1 LBS/HR,170.0 lbs (est.)
1015,2-Butene-trans,96.1 LBS/HR,256.0 lbs (est.)
1016,Acetylene,96.1 LBS/HR,188.0 lbs (est.)
1017,"Butane, N-",96.1 LBS/HR,117.0 lbs (est.)
1018,Butene,96.1 LBS/HR,614.0 lbs (est.)
1019,Carbon Monoxide,541.5 LBS/HR,66153.0 lbs (est.)
1020,Ethane,96.1 LBS/HR,14654.0 lbs (est.)
1021,Ethylene (gaseous),96.1 LBS/HR,32297.0 lbs (est.)
1022,Hexane,96.1 LBS/HR,1685.0 lbs (est.)
1023,Isobutane,96.1 LBS/HR,103.0 lbs (est.)
1024,Isobutylene,96.1 LBS/HR,838.0 lbs (est.)
1025,Isopentane,96.1 LBS/HR,2950.0 lbs (est.)
1026,Methane,96.1 LBS/HR,13990.0 lbs (est.)
1027,Nitrogen Oxides,446.5 LBS/HR,9314.0 lbs (est.)
1028,Opacity,5.0 LBS/HR,50.0 % op (est.)
1029,"Pentane, N-",96.1 LBS/HR,4001.0 lbs (est.)
1030,Propane,96.1 LBS/HR,5783.0 lbs (est.)
1031,Propylene,96.1 LBS/HR,9269.0 lbs (est.)
1032,Toluene,96.1 LBS/HR,13046.0 lbs (est.)
1033,"1,3-BUTADIENE",96.1 LBS/HR,602.0 lbs (est.)
1034,1-Butene,96.1 LBS/HR,155.0 lbs (est.)
1035,2-Butene-cis,96.1 LBS/HR,43.0 lbs (est.)
1036,2-Butene-trans,96.1 LBS/HR,64.0 lbs (est.)
1037,Acetylene,96.1 LBS/HR,47.0 lbs (est.)
1038,"Butane, N-",96.1 LBS/HR,29.0 lbs (est.)
1039,Carbon Monoxide,541.5 LBS/HR,15572.0 lbs (est.)
1040,Ethane,96.1 LBS/HR,3456.0 lbs (est.)
1041,"Ethylene, gaseous",96.1 LBS/HR,7139.0 lbs (est.)
1042,Hexane,96.1 LBS/HR,439.0 lbs (est.)
1043,Isobutane,96.1 LBS/HR,28.0 lbs (est.)
1044,Isobutylene,96.1 LBS/HR,211.0 lbs (est.)
1045,Isopentane,96.1 LBS/HR,769.0 lbs (est.)
1046,Methane,96.1 LBS/HR,3201.0 lbs (est.)
1047,Nitrogen Oxides,446.5 LBS/HR,2162.0 lbs (est.)
1048,"Pentane, N-",96.1 LBS/HR,1043.0 lbs (est.)
1049,Propane,96.1 LBS/HR,1563.0 lbs (est.)
1050,Propylene,96.1 LBS/HR,2292.0 lbs (est.)
1051,Toluene,96.1 LBS/HR,3400.0 lbs (est.)
1052,Carbon Monoxide,8.87 TONS/YR,5414.11 lbs (est.)
1053,Hydrogen Sulfide,0.0001 TONS/YR,443.53 lbs (est.)
1054,NATURAL GAS,0.1 TONS/YR,6345.35 lbs (est.)
1055,Nitrogen Oxides,8.81 TONS/YR,2711.97 lbs (est.)
1056,Nitrogen dioxide,0.0001 TONS/YR,135.6 lbs (est.)
1057,Nitrogen oxide,0.0001 TONS/YR,2576.37 lbs (est.)
1058,Sulfur dioxide,0.0001 TONS/YR,40853.14 lbs (est.)
1059,Carbon Monoxide,0,4.21 lbs (est.)
1060,Hydrogen Sulfide,0,228.88 lbs (est.)
1061,NATURAL GAS,0,0.9 lbs (est.)
1062,Nitrogen dioxide,0,1.0 lbs (est.)
1063,Nitrogen oxide,0,0.49 lbs (est.)
1064,Sulfur dioxide,0,21081.95 lbs (est.)
1065,Benzene,0,40.0 gals
1066,Sulfur dioxide,15.82 LBS/HR,59.0 lbs (est.)
1067,Sulfur dioxide,1.4 LBS/HR,61.0 lbs (est.)
1068,Sulfur dioxide,5.7 LBS/HR,67.0 lbs (est.)
1069,Sulfur dioxide,2.93 LBS/HR,66.0 lbs (est.)
1070,Sulfur dioxide,2.93 LBS/HR,61.0 lbs (est.)
1071,Sulfur dioxide,2.2 LBS/HR,60.0 lbs (est.)
1072,Sulfur dioxide,15.82 LBS/HR,348.0 lbs (est.)
1073,Sulfur dioxide,1.5 LBS/HR,64.0 lbs (est.)
1074,Sulfur dioxide,1.26 LBS/HR,54.0 lbs (est.)
1075,Butane,0,5.7 lbs (est.)
1076,Carbon Monoxide,0,24.2 lbs (est.)
1077,Ethane,0,10.3 lbs (est.)
1078,Hydrocarbons,0,0.5 lbs (est.)
1079,Hydrogen Sulfide,0,4.0 lbs (est.)
1080,Isobutane,0,4.8 lbs (est.)
1081,Isopentane,0,6.1 lbs (est.)
1082,Methane,0,16.4 lbs (est.)
1083,Nitrogen oxide,0,4.7 lbs (est.)
1084,Pentane,0,3.2 lbs (est.)
1085,Propane,0,10.7 lbs (est.)
1086,Propylene (Propene),0,0.3 lbs (est.)
1087,Sulfur dioxide,0,341.0 lbs (est.)
1088,hexanes +,0,1.6 lbs (est.)
1089,Hydrogen Sulfide,0.5 LBS/HR,7.38 lbs (est.)
1090,Sulfur dioxide,22.4 LBS/HR,2038.0 lbs (est.)
1091,TIRES (SCRAP),0,Unknown
1092,Carbon Monoxide,0,843.0 lbs (est.)
1093,Hydrogen Sulfide,0,24.1 lbs (est.)
1094,NATURAL GAS,0,754.0 lbs (est.)
1095,NOX,0,422.0 lbs (est.)
1096,Sulfur dioxide,0,2260.0 lbs (est.)
1097,Carbon Monoxide,12.1 LBS/HR,11.26 lbs (est.)
1098,Hydrogen Sulfide,0,13.5 lbs (est.)
1099,Oxides of Nitrogen (NOx),5.76 LBS/HR,1.32 lbs (est.)
1100,Sulfur dioxide,0.47 LBS/HR,1271.4 lbs (est.)
1101,Acetonitrile,5.02 LBS/HR,80.48 lbs (est.)
1102,Acrylonitrile,2.09 LBS/HR,1.55 lbs (est.)
1103,Carbon Monoxide,36.0 LBS/HR,571.94 lbs (est.)
1104,Hydrogen cyanide,1.56 LBS/HR,3.52 lbs (est.)
1105,Other Organics,40.48 LBS/HR,1.32 lbs (est.)
1106,Propane,40.48 LBS/HR,508.14 lbs (est.)
1107,Propylene (Propene),19.26 LBS/HR,342.13 lbs (est.)
1108,Hydrogen Sulfide,0,116.8 lbs (est.)
1109,VOC,0,16165.2 lbs (est.)
1110,Hydrogen Sulfide,0,346.1 lbs (est.)
1111,VOC,0,11252.9 lbs (est.)
1112,"Wastewater discharge, municipal",0,50.0 gals (est.)
1113,Carbon Monoxide,0.6 TONS/YR,221.15 lbs (est.)
1114,Hydrogen Sulfide,0.0001 TONS/YR,40.95 lbs (est.)
1115,NATURAL GAS,0.0001 TONS/YR,316.57 lbs (est.)
1116,Nitrogen Oxides,0.15 TONS/YR,110.78 lbs (est.)
1117,Sulfur dioxide,0.0001 TONS/YR,3771.67 lbs (est.)
1118,"Wastewater discharge, municipal",0,300.0 gals (est.)
1119,Motor oil,0,Unknown
1120,Opacity,10.0 % op,33.0 % op (est.)
1121,Hydrogen Sulfide,0,273.92 lbs (est.)
1122,NATURAL GAS,0,9495.62 lbs (est.)
1123,Propane,0,4317.38 lbs (est.)
1124,NATURAL GAS,0,6338.24 lbs (est.)
1125,Carbon Monoxide,334.23 lbs,334.23 lbs (est.)
1126,Hydrogen Sulfide,239.96 lbs,239.96 lbs (est.)
1127,NATURAL GAS,460.4 lbs,460.4 lbs (est.)
1128,Nitrogen oxide,167.42 lbs,167.42 lbs (est.)
1129,Sulfur dioxide,22552.51 lbs,22552.51 lbs (est.)
1130,Carbon Monoxide,194.55 lbs,194.55 lbs (est.)
1131,Hydrogen Sulfide,200.25 lbs,200.25 lbs (est.)
1132,NATURAL GAS,343.45 lbs,343.45 lbs (est.)
1133,Nitrogen oxide,97.45 lbs,97.45 lbs (est.)
1134,Sulfur dioxide,18820.86 lbs,18820.86 lbs (est.)
1135,NATURAL GAS,0,9916.6 lbs (est.)
1136,Carbon Monoxide,0.0001 TONS/YR,600.58 lbs (est.)
1137,Hydrogen Sulfide,0.0001 TONS/YR,150.55 lbs (est.)
1138,NATURAL GAS,0.0001 TONS/YR,1008.82 lbs (est.)
1139,Nitrogen Oxides,0.0001 TONS/YR,300.83 lbs (est.)
1140,Sulfur dioxide,0.0002 TONS/YR,13867.36 lbs (est.)
1141,"1,4-Pentadiene",0,3.9 lbs (est.)
1142,1-Pentene,0,2.8 lbs (est.)
1143,1-trans-3-pentadiene,0,5.6 lbs (est.)
1144,"2-methyl-1,3-butadiene",0,3.3 lbs (est.)
1145,Acetylene,0,2.0 lbs (est.)
1146,Benzene,0,36.3 lbs (est.)
1147,"Butadiene, 1-3",0,53.8 lbs (est.)
1148,Butane,0,7.9 lbs (est.)
1149,"Butenes, All Isomers",0,52.0 lbs (est.)
1150,Cyclopentadiene,0,4.6 lbs (est.)
1151,Ethylbenzene,0,1.0 lbs (est.)
1152,"Ethylene, gaseous",0,75.3 lbs (est.)
1153,"Heptane,-n",0,9.5 lbs (est.)
1154,Hexane,0,10.8 lbs (est.)
1155,Hexene,0,10.8 lbs (est.)
1156,Isobutane,0,3.7 lbs (est.)
1157,Isobutylene,0,7.3 lbs (est.)
1158,Methylcyclopentadiene,0,10.6 lbs (est.)
1159,"Pentane, N-",0,2.4 lbs (est.)
1160,Propane,0,8.7 lbs (est.)
1161,Propylene,0,76.0 lbs (est.)
1162,Toluene,0,4.78 lbs (est.)
1163,VOCs,0,8.4 lbs (est.)
1164,Vinylacetylene,0,10.5 lbs (est.)
1165,cycloheptene,0,1.6 lbs (est.)
1166,Carbon Monoxide,0,1723.0 lbs (est.)
1167,Hydrogen Sulfide,0,84.2 lbs (est.)
1168,Non-Methane Non-Ethane Natural Gas,0,967.0 lbs (est.)
1169,Oxides of Nitrogen (NOx),0,201.0 lbs (est.)
1170,Sulfur dioxide,0,7762.0 lbs (est.)
1171,Carbon Monoxide,0.6 TONS/YR,88.23 lbs (est.)
1172,Hydrogen Sulfide,0.0001 TONS/YR,16.34 lbs (est.)
1173,NATURAL GAS,0.0001 TONS/YR,126.3 lbs (est.)
1174,Nitrogen Oxides,0.15 TONS/YR,44.19 lbs (est.)
1175,Sulfur dioxide,0.0001 TONS/YR,1504.73 lbs (est.)
1176,Carbon Monoxide,5000.0 lbs,6.0 lbs (est.)
1177,Hydrogen Sulfide,100.0 lbs,6.9 lbs (est.)
1178,Nitrogen monoxide,5000.0 lbs,1.0 lbs (est.)
1179,Opacity,0,5.0 % op (est.)
1180,Sulfur dioxide,500.0 lbs,633.7 lbs (est.)
1181,VOC,0,5.0 % op (est.)
1182,Carbon Monoxide,0,17.4 lbs (est.)
1183,Hydrogen Sulfide,0,2760.0 lbs (est.)
1184,NATURAL GAS,0,1380.0 lbs (est.)
1185,NOX,0,914.0 lbs (est.)
1186,Sulfur dioxide,0,259000.0 lbs (est.)
1187,"1,2 - Butadiene",139.92 LBS/HR,196.9 lbs (est.)
1188,"1,3-BUTADIENE",139.92 LBS/HR,1598.7 lbs (est.)
1189,1-Butene,139.92 LBS/HR,46.0 lbs (est.)
1190,1-Butyne,139.92 LBS/HR,92.2 lbs (est.)
1191,1-Pentene,139.92 LBS/HR,11.5 lbs (est.)
1192,2-Butene-cis,139.92 LBS/HR,12.0 lbs (est.)
1193,Butane,139.92 LBS/HR,18.0 lbs (est.)
1194,Carbon Monoxide,61.25 LBS/HR,697.0 lbs (est.)
1195,Hydrogen Sulfide,0.13 LBS/HR,2.0254 lbs (est.)
1196,Isobutane,139.92 LBS/HR,10.0 lbs (est.)
1197,Isobutene,139.92 LBS/HR,45.0 lbs (est.)
1198,Other VOCs,139.92 LBS/HR,6.2 lbs (est.)
1199,Oxides of Nitrogen (NOx),12.02 LBS/HR,136.8 lbs (est.)
1200,Sulfur dioxide,13.77 LBS/HR,214.5366 lbs (est.)
1201,Vinyl acetylene,139.92 LBS/HR,41.5 lbs (est.)
1202,t-2-butene,139.92 LBS/HR,14.0 lbs (est.)
1203,Hydrogen Sulfide,0,238.0 lbs (est.)
1204,Hydrogen Sulfide,0,108.7 lbs (est.)
1205,VOC,0,1849.9 lbs (est.)
1206,Hydrogen Sulfide,0,158.0 lbs (est.)
1207,VOC,0,5137.5 lbs (est.)
1208,Hydrogen Sulfide,0,116.8 lbs (est.)
1209,VOC,0,16165.2 lbs (est.)
1210,Hydrogen Sulfide,0,306.7 lbs (est.)
1211,VOC,0,5221.2 lbs (est.)
1212,Carbon Monoxide,5.76 LBS/HR,317.0 lbs (est.)
1213,Ethylene (gaseous),2.5 LBS/HR,275.0 lbs (est.)
1214,Other,0.3 LBS/HR,1.0 lbs (est.)
1215,Oxides of Nitrogen (NOx),1.13 LBS/HR,62.0 lbs (est.)
1216,Propane,0.86 LBS/HR,48.0 lbs (est.)
1217,Propylene (Propene),2.51 LBS/HR,96.0 lbs (est.)
1218,Carbon Monoxide,51.53 LBS/HR,2856.0 lbs (est.)
1219,Ethylene (gaseous),22.55 LBS/HR,2474.0 lbs (est.)
1220,Other,2.71 LBS/HR,6.0 lbs (est.)
1221,Oxides of Nitrogen (NOx),10.12 LBS/HR,560.0 lbs (est.)
1222,Propane,7.7 LBS/HR,435.0 lbs (est.)
1223,Propylene (Propene),22.61 LBS/HR,866.0 lbs (est.)
1224,Carbon Monoxide,5.76 LBS/HR,317.0 lbs (est.)
1225,Ethylene (gaseous),2.5 LBS/HR,275.0 lbs (est.)
1226,Other,0.3 LBS/HR,1.0 lbs (est.)
1227,Oxides of Nitrogen (NOx),1.13 LBS/HR,62.0 lbs (est.)
1228,Propane,0.86 LBS/HR,48.0 lbs (est.)
1229,Propylene (Propene),2.51 LBS/HR,96.0 lbs (est.)
1230,Carbon Monoxide,51.53 LBS/HR,2856.0 lbs (est.)
1231,Ethylene (gaseous),22.55 LBS/HR,2474.0 lbs (est.)
1232,Other,2.71 LBS/HR,6.0 lbs (est.)
1233,Oxides of Nitrogen (NOx),10.12 LBS/HR,560.0 lbs (est.)
1234,Propane,7.7 LBS/HR,435.0 lbs (est.)
1235,Propylene (Propene),22.61 LBS/HR,866.0 lbs (est.)
1236,"Ammonia, anhydrous",0,138.0 lbs
1237,Butane,12.8 LBS/HR,0.01 lbs (est.)
1238,Carbon Monoxide,100.5 LBS/HR,22.67 lbs (est.)
1239,Hexane,12.8 LBS/HR,0.1 lbs (est.)
1240,Hydrogen Sulfide,0,33.07 lbs (est.)
1241,NOX,11.72 LBS/HR,11.35 lbs (est.)
1242,Pentane,12.8 LBS/HR,0.01 lbs (est.)
1243,Propane,12.8 LBS/HR,0.04 lbs (est.)
1244,Sulfur dioxide,9672.0 LBS/HR,3045.0 lbs (est.)
1245,Carbon Monoxide,0,277.0 lbs (est.)
1246,Hydrogen Sulfide,0,7.92 lbs (est.)
1247,NATURAL GAS,0,248.0 lbs (est.)
1248,NOX,0,139.0 lbs (est.)
1249,Sulfur dioxide,0,744.0 lbs (est.)
1250,"Butane, N-",6117.32 LBS/HR,6.5 lbs (est.)
1251,"Butane, i",6117.32 LBS/HR,1.8 lbs (est.)
1252,Butene,6117.32 LBS/HR,26.3 lbs (est.)
1253,Carbon Monoxide,3736.48 LBS/HR,391.5 lbs (est.)
1254,Ethylene (gaseous),6117.32 LBS/HR,15.9 lbs (est.)
1255,Hydrogen Sulfide,15.78 LBS/HR,23.6 lbs (est.)
1256,NOX,1747.18 LBS/HR,71.0 lbs (est.)
1257,Propane,6117.32 LBS/HR,17.7 lbs (est.)
1258,Propylene,6117.32 LBS/HR,25.6 lbs (est.)
1259,Sulfur dioxide,3242.67 LBS/HR,2177.5 lbs (est.)
1260,VOC (unspeciated),6117.32 LBS/HR,103.7 lbs (est.)
1261,Carbon Monoxide,3736.48 LBS/HR,2174.1 lbs (est.)
1262,Carbonyl sulfide,6117.32 LBS/HR,11.5 lbs (est.)
1263,Hydrogen Sulfide,15.78 LBS/HR,0.15 lbs (est.)
1264,Methyl mercaptan,6117.32 LBS/HR,0.31 lbs (est.)
1265,NOX,1747.18 LBS/HR,14.1 lbs (est.)
1266,Sulfur Compounds,6117.32 LBS/HR,0.29 lbs (est.)
1267,Sulfur dioxide,3242.67 LBS/HR,486.7 lbs (est.)
1268,Carbon Monoxide,0,33.02 lbs (est.)
1269,Nitrogen Oxides,0,0.06 lbs (est.)
1270,Carbon Monoxide,0,8253.0 lbs (est.)
1271,Opacity,0,66.01 % op (est.)
1272,Particulate Matter,0,190.0 lbs (est.)
1273,Opacity,0,20.0 % op (est.)
1274,Benzene,0,0.04 lbs (est.)
1275,Carbon Monoxide,0,0.96 lbs (est.)
1276,Ethylbenzene,0,0.05 lbs (est.)
1277,Nitrogen Oxides,0,0.13 lbs (est.)
1278,Propane,0,0.63 lbs (est.)
1279,Propylene,0,0.6 lbs (est.)
1280,Toluene,0,1.4 lbs (est.)
1281,Butane,0,23.62 lbs (est.)
1282,"Butenes, All Isomers",0,159.17 lbs (est.)
1283,Carbon Monoxide,0,3529.61 lbs (est.)
1284,Ethylene (gaseous),0,27.73 lbs (est.)
1285,Hydrogen Sulfide,0,27.16 lbs (est.)
1286,Isobutane,0,73.86 lbs (est.)
1287,Isopentane,0,12.35 lbs (est.)
1288,Nitrogen Oxides,0,676.07 lbs (est.)
1289,Opacity,0,65.0 % op (est.)
1290,Particulate Matter,0,6.49 lbs (est.)
1291,Pentane,0,6.28 lbs (est.)
1292,Propane,0,37.86 lbs (est.)
1293,Propylene,0,148.72 lbs (est.)
1294,Sulfur dioxide,0,2504.7 lbs (est.)
1349,NOX,1630.75 LBS/HR,296.48 lbs (est.)
1295,VOC (unspeciated),0,208.59 lbs (est.)
1296,Butanes,0,331.8 lbs (est.)
1297,"Butenes, All Isomers",0,242.6 lbs (est.)
1298,Carbon Monoxide,0,2104.7 lbs (est.)
1299,Ethane,0,540.4 lbs (est.)
1300,Ethylene (gaseous),0,92.4 lbs (est.)
1301,Hexanes,0,879.4 lbs (est.)
1302,Hydrogen Sulfide,0,439.0 lbs (est.)
1303,Methane,0,703.6 lbs (est.)
1304,Nitrogen Oxides,0,291.4 lbs (est.)
1305,Pentanes,0,422.0 lbs (est.)
1306,Propane,0,478.9 lbs (est.)
1307,Propylene (Propene),0,112.5 lbs (est.)
1308,Sulfur dioxide,0,40493.9 lbs (est.)
1309,Carbon Monoxide,0,41.73 lbs (est.)
1310,Hydrogen Sulfide,0,12.56 lbs (est.)
1311,NATURAL GAS,0,45.85 lbs (est.)
1312,Nitrogen oxide,0,4.87 lbs (est.)
1313,Sulfur dioxide,0,1180.17 lbs (est.)
1314,NATURAL GAS,1.1 TONS/YR,7772.81 lbs (est.)
1315,Carbon Monoxide,0,383.0 lbs (est.)
1316,Hydrogen Sulfide,0,10.6 lbs (est.)
1317,NATURAL GAS,0,333.0 lbs (est.)
1318,NOX,0,186.0 lbs (est.)
1319,Sulfur dioxide,0,999.0 lbs (est.)
1320,Opacity,20.0 % op,40.7 % op (est.)
1321,Soda Ash,0,45.0 % op (est.)
1322,Opacity,20.0 % op,41.0 % op (est.)
1323,Carbon Monoxide,0,116.0 lbs (est.)
1324,Hydrogen Sulfide,0,30.0 lbs (est.)
1325,Non-Methane Non-Ethane Natural Gas,0,67.0 lbs (est.)
1326,Oxides of Nitrogen (NOx),0,13.5 lbs (est.)
1327,Sulfur dioxide,0,2769.0 lbs (est.)
1328,"1,3-BUTADIENE",0,80.46 lbs (est.)
1329,Acetylene,0,50.99 lbs (est.)
1330,Benzene,0,27.64 lbs (est.)
1331,Butanes,0,16.15 lbs (est.)
1332,Carbon Monoxide,6627.58 LBS/HR,9.26 lbs (est.)
1333,Cyclohexane,0,13.26 lbs (est.)
1334,Cyclopentadiene,0,16.25 lbs (est.)
1335,Ethylene (gaseous),0,2078.04 lbs (est.)
1336,Hydrogen Sulfide,0,8.15 lbs (est.)
1337,Other,0,26.27 lbs (est.)
1338,Propane,0,15.77 lbs (est.)
1339,Propylene,0,49.07 lbs (est.)
1340,VOC (unspeciated),0,87.71 lbs (est.)
1341,Acetylene,709.48 LBS/HR,8.84 lbs (est.)
1342,Benzene,709.48 LBS/HR,22.32 lbs (est.)
1343,"Butadiene, 1-3",709.48 LBS/HR,35.73 lbs (est.)
1344,"Butane, N-",709.48 LBS/HR,5.65 lbs (est.)
1345,Carbon Monoxide,6627.58 LBS/HR,4236.69 lbs (est.)
1346,Cis-2-butene,709.48 LBS/HR,1.94 lbs (est.)
1347,Ethylene (gaseous),709.48 LBS/HR,4492.03 lbs (est.)
1348,Isobutene,709.48 LBS/HR,5.87 lbs (est.)
1350,"Propane, N-",709.48 LBS/HR,5.04 lbs (est.)
1351,Propylene (Propene),709.48 LBS/HR,149.44 lbs (est.)
1352,Trans-2-butene,709.48 LBS/HR,2.04 lbs (est.)
1353,VOC (unspeciated),709.48 LBS/HR,210.04 lbs (est.)
1354,NATURAL GAS,4.42 TONS/YR,6683.82 lbs (est.)
1355,Carbon Monoxide,5000.0 lbs,691.79 lbs (est.)
1356,Hydrogen Sulfide,100.0 lbs,11.5 lbs (est.)
1357,Natural Gas VOCs,5000.0 lbs,361.33 lbs (est.)
1358,Nitrogen dioxide,5000.0 lbs,80.68 lbs (est.)
1359,Sulfur dioxide,500.0 lbs,1080.66 lbs (est.)
1360,VOC (Unspecified),5000.0 lbs,3378.2 lbs (est.)
1361,Hydrogen Sulfide,0,116.2 lbs (est.)
1362,Hydrogen Sulfide,0,8.5 lbs (est.)
1363,Methyl mercaptan,0,0.3 lbs (est.)
1364,Sulfur dioxide,25.0 LBS/HR,803.0 lbs (est.)
1365,Carbon Monoxide,0,12462.0 lbs (est.)
1366,Hydrogen Sulfide,0,294.2 lbs (est.)
1367,Non-Methane Non-Ethane Natural Gas,0,7903.0 lbs (est.)
1368,Oxides of Nitrogen (NOx),0,1453.4 lbs (est.)
1369,Sulfur dioxide,0,27138.0 lbs (est.)
1370,Carbon Monoxide,0,314.0 lbs (est.)
1371,Hydrogen Sulfide,0,13.5 lbs (est.)
1372,Non-Methane Non-Ethane Natural Gas,0,519.0 lbs (est.)
1373,Oxides of Nitrogen (NOx),0,157.4 lbs (est.)
1374,Sulfur dioxide,0,1241.0 lbs (est.)
1375,Carbon Monoxide,5000.0 lbs,21.0 lbs (est.)
1376,Hydrogen Sulfide,100.0 lbs,22.74 lbs (est.)
1377,Nitrogen monoxide,5000.0 lbs,2.0 lbs (est.)
1378,Opacity,0,5.0 % op (est.)
1379,Sulfur dioxide,500.0 lbs,2098.0 lbs (est.)
1380,CO,250.0 TONS/YR,124.05 lbs (est.)
1381,Hydrogen Sulfide,25.0 TONS/YR,27.892 lbs (est.)
1382,NOX,250.0 TONS/YR,22.799 lbs (est.)
1383,Natural Gas VOCs,25.0 TONS/YR,0.94758 lbs (est.)
1384,Sulfur dioxide,25.0 TONS/YR,2572.632 lbs (est.)
1385,Opacity,20.0 % op,90.0 % op (est.)
1386,Opacity,20.0 % op,84.0 % op (est.)
1387,Opacity,20.0 % op,87.0 % op (est.)
1388,Opacity,20.0 % op,49.0 % op (est.)
1389,Acetylene,13.3 TONS/YR,12.072 lbs (est.)
1390,Benzene,13.3 TONS/YR,11.0944 lbs (est.)
1391,Butadiene,13.3 TONS/YR,55.2744 lbs (est.)
1392,Butane,13.3 TONS/YR,3.223 lbs (est.)
1393,Butene,13.3 TONS/YR,41.0407 lbs (est.)
1394,Carbon Monoxide,61.83 TONS/YR,21849.557 lbs (est.)
1395,Cyclopentadiene,13.3 TONS/YR,6.7396 lbs (est.)
1396,Ethane,0,7535.058 lbs (est.)
1397,Ethylene (gaseous),13.3 TONS/YR,16157.3732 lbs (est.)
1398,Heptane (or n-),13.3 TONS/YR,0.1086 lbs (est.)
1399,Hexane,13.3 TONS/YR,16.4771 lbs (est.)
1400,Hydrogen,0,596.2931 lbs (est.)
1401,Isoprene,13.3 TONS/YR,8.2455 lbs (est.)
1402,Methane,0,2933.662 lbs (est.)
1403,Methyl Acetylene,13.3 TONS/YR,4.5548 lbs (est.)
1404,Nitric oxide,12.13 TONS/YR,4071.2631 lbs (est.)
1405,Nitrogen dioxide,12.13 TONS/YR,214.277 lbs (est.)
1406,Octane,13.3 TONS/YR,7.3424 lbs (est.)
1407,Pentane,13.3 TONS/YR,0.1629 lbs (est.)
1408,Pentene,13.3 TONS/YR,0.9085 lbs (est.)
1409,Propadiene,13.3 TONS/YR,3.1525 lbs (est.)
1410,Propane,13.3 TONS/YR,177.0927 lbs (est.)
1411,Propylene (Propene),13.3 TONS/YR,2838.0938 lbs (est.)
1412,Toluene,13.3 TONS/YR,0.8838 lbs (est.)
1413,Water (H2O),0,1.1159 lbs (est.)
1414,Xylene,13.3 TONS/YR,0.0049 lbs (est.)
1415,Carbon Monoxide,0,335.0 lbs (est.)
